TIMESTAMP,ECG
2023-12-11 02:17:29.269000+00:00,-24
2023-12-11 02:17:29.276874015+00:00,-11
2023-12-11 02:17:29.284748031+00:00,-11
2023-12-11 02:17:29.292622047+00:00,-6
2023-12-11 02:17:29.300496062+00:00,-12
2023-12-11 02:17:29.308370078+00:00,-9
2023-12-11 02:17:29.316244094+00:00,-2
2023-12-11 02:17:29.324118110+00:00,-3
2023-12-11 02:17:29.331992125+00:00,-7
2023-12-11 02:17:29.339866141+00:00,-21
2023-12-11 02:17:29.347740157+00:00,-29
2023-12-11 02:17:29.355614173+00:00,-37
2023-12-11 02:17:29.363488188+00:00,-46
2023-12-11 02:17:29.371362204+00:00,-50
2023-12-11 02:17:29.379236220+00:00,-80
2023-12-11 02:17:29.387110236+00:00,-68
2023-12-11 02:17:29.394984251+00:00,232
2023-12-11 02:17:29.402858267+00:00,704
2023-12-11 02:17:29.410732283+00:00,588
2023-12-11 02:17:29.418606299+00:00,-26
2023-12-11 02:17:29.426480314+00:00,-138
2023-12-11 02:17:29.434354330+00:00,-132
2023-12-11 02:17:29.442228346+00:00,-73
2023-12-11 02:17:29.450102362+00:00,-58
2023-12-11 02:17:29.457976377+00:00,-54
2023-12-11 02:17:29.465850393+00:00,-60
2023-12-11 02:17:29.473724409+00:00,-53
2023-12-11 02:17:29.481598425+00:00,-50
2023-12-11 02:17:29.489472440+00:00,-50
2023-12-11 02:17:29.497346456+00:00,-42
2023-12-11 02:17:29.505220472+00:00,-47
2023-12-11 02:17:29.513094488+00:00,-39
2023-12-11 02:17:29.520968503+00:00,-35
2023-12-11 02:17:29.528842519+00:00,-34
2023-12-11 02:17:29.536716535+00:00,-27
2023-12-11 02:17:29.544590551+00:00,-23
2023-12-11 02:17:29.552464566+00:00,-14
2023-12-11 02:17:29.560338582+00:00,-9
2023-12-11 02:17:29.568212598+00:00,-8
2023-12-11 02:17:29.576086614+00:00,-3
2023-12-11 02:17:29.583960629+00:00,-1
2023-12-11 02:17:29.591834645+00:00,5
2023-12-11 02:17:29.599708661+00:00,13
2023-12-11 02:17:29.607582677+00:00,16
2023-12-11 02:17:29.615456692+00:00,28
2023-12-11 02:17:29.623330708+00:00,27
2023-12-11 02:17:29.631204724+00:00,32
2023-12-11 02:17:29.639078740+00:00,44
2023-12-11 02:17:29.646952755+00:00,48
2023-12-11 02:17:29.654826771+00:00,64
2023-12-11 02:17:29.662700787+00:00,76
2023-12-11 02:17:29.670574803+00:00,84
2023-12-11 02:17:29.678448818+00:00,98
2023-12-11 02:17:29.686322834+00:00,103
2023-12-11 02:17:29.694196850+00:00,113
2023-12-11 02:17:29.702070866+00:00,116
2023-12-11 02:17:29.709944881+00:00,111
2023-12-11 02:17:29.717818897+00:00,110
2023-12-11 02:17:29.725692913+00:00,103
2023-12-11 02:17:29.733566929+00:00,91
2023-12-11 02:17:29.741440944+00:00,82
2023-12-11 02:17:29.749314960+00:00,66
2023-12-11 02:17:29.757188976+00:00,58
2023-12-11 02:17:29.765062992+00:00,39
2023-12-11 02:17:29.772937007+00:00,34
2023-12-11 02:17:29.780811023+00:00,24
2023-12-11 02:17:29.788685039+00:00,15
2023-12-11 02:17:29.796559055+00:00,16
2023-12-11 02:17:29.804433070+00:00,12
2023-12-11 02:17:29.812307086+00:00,7
2023-12-11 02:17:29.820181102+00:00,2
2023-12-11 02:17:29.828055118+00:00,0
2023-12-11 02:17:29.835929133+00:00,2
2023-12-11 02:17:29.843803149+00:00,1
2023-12-11 02:17:29.851677165+00:00,0
2023-12-11 02:17:29.859551181+00:00,4
2023-12-11 02:17:29.867425196+00:00,-4
2023-12-11 02:17:29.875299212+00:00,-1
2023-12-11 02:17:29.883173228+00:00,-2
2023-12-11 02:17:29.891047244+00:00,-12
2023-12-11 02:17:29.898921259+00:00,-10
2023-12-11 02:17:29.906795275+00:00,-13
2023-12-11 02:17:29.914669291+00:00,-13
2023-12-11 02:17:29.922543307+00:00,-14
2023-12-11 02:17:29.930417322+00:00,-17
2023-12-11 02:17:29.938291338+00:00,-16
2023-12-11 02:17:29.946165354+00:00,-15
2023-12-11 02:17:29.954039370+00:00,-15
2023-12-11 02:17:29.961913385+00:00,-15
2023-12-11 02:17:29.969787401+00:00,-14
2023-12-11 02:17:29.977661417+00:00,-15
2023-12-11 02:17:29.985535433+00:00,-20
2023-12-11 02:17:29.993409448+00:00,-22
2023-12-11 02:17:30.001283464+00:00,-16
2023-12-11 02:17:30.009157480+00:00,-21
2023-12-11 02:17:30.017031496+00:00,-22
2023-12-11 02:17:30.024905511+00:00,-16
2023-12-11 02:17:30.032779527+00:00,-21
2023-12-11 02:17:30.040653543+00:00,-21
2023-12-11 02:17:30.048527559+00:00,-19
2023-12-11 02:17:30.056401574+00:00,-21
2023-12-11 02:17:30.064275590+00:00,-26
2023-12-11 02:17:30.072149606+00:00,-28
2023-12-11 02:17:30.080023622+00:00,-24
2023-12-11 02:17:30.087897637+00:00,-22
2023-12-11 02:17:30.095771653+00:00,-6
2023-12-11 02:17:30.103645669+00:00,5
2023-12-11 02:17:30.111519685+00:00,7
2023-12-11 02:17:30.119393700+00:00,9
2023-12-11 02:17:30.127267716+00:00,5
2023-12-11 02:17:30.135141732+00:00,10
2023-12-11 02:17:30.143015748+00:00,21
2023-12-11 02:17:30.150889763+00:00,9
2023-12-11 02:17:30.158763779+00:00,1
2023-12-11 02:17:30.166637795+00:00,-10
2023-12-11 02:17:30.174511811+00:00,-27
2023-12-11 02:17:30.182385826+00:00,-24
2023-12-11 02:17:30.190259842+00:00,-24
2023-12-11 02:17:30.198133858+00:00,-43
2023-12-11 02:17:30.206007874+00:00,-71
2023-12-11 02:17:30.213881889+00:00,33
2023-12-11 02:17:30.221755905+00:00,446
2023-12-11 02:17:30.229629921+00:00,704
2023-12-11 02:17:30.237503937+00:00,242
2023-12-11 02:17:30.245377952+00:00,-83
2023-12-11 02:17:30.253251968+00:00,-105
2023-12-11 02:17:30.261125984+00:00,-58
2023-12-11 02:17:30.269000+00:00,-41
2023-12-11 02:17:30.269000+00:00,-39
2023-12-11 02:17:30.276874015+00:00,-41
2023-12-11 02:17:30.284748031+00:00,-40
2023-12-11 02:17:30.292622047+00:00,-35
2023-12-11 02:17:30.300496062+00:00,-31
2023-12-11 02:17:30.308370078+00:00,-31
2023-12-11 02:17:30.316244094+00:00,-23
2023-12-11 02:17:30.324118110+00:00,-24
2023-12-11 02:17:30.331992125+00:00,-19
2023-12-11 02:17:30.339866141+00:00,-19
2023-12-11 02:17:30.347740157+00:00,-23
2023-12-11 02:17:30.355614173+00:00,-7
2023-12-11 02:17:30.363488188+00:00,-11
2023-12-11 02:17:30.371362204+00:00,-4
2023-12-11 02:17:30.379236220+00:00,0
2023-12-11 02:17:30.387110236+00:00,-3
2023-12-11 02:17:30.394984251+00:00,3
2023-12-11 02:17:30.402858267+00:00,5
2023-12-11 02:17:30.410732283+00:00,5
2023-12-11 02:17:30.418606299+00:00,17
2023-12-11 02:17:30.426480314+00:00,17
2023-12-11 02:17:30.434354330+00:00,29
2023-12-11 02:17:30.442228346+00:00,34
2023-12-11 02:17:30.450102362+00:00,40
2023-12-11 02:17:30.457976377+00:00,52
2023-12-11 02:17:30.465850393+00:00,61
2023-12-11 02:17:30.473724409+00:00,76
2023-12-11 02:17:30.481598425+00:00,84
2023-12-11 02:17:30.489472440+00:00,92
2023-12-11 02:17:30.497346456+00:00,104
2023-12-11 02:17:30.505220472+00:00,109
2023-12-11 02:17:30.513094488+00:00,111
2023-12-11 02:17:30.520968503+00:00,110
2023-12-11 02:17:30.528842519+00:00,104
2023-12-11 02:17:30.536716535+00:00,110
2023-12-11 02:17:30.544590551+00:00,99
2023-12-11 02:17:30.552464566+00:00,90
2023-12-11 02:17:30.560338582+00:00,73
2023-12-11 02:17:30.568212598+00:00,59
2023-12-11 02:17:30.576086614+00:00,52
2023-12-11 02:17:30.583960629+00:00,34
2023-12-11 02:17:30.591834645+00:00,27
2023-12-11 02:17:30.599708661+00:00,26
2023-12-11 02:17:30.607582677+00:00,11
2023-12-11 02:17:30.615456692+00:00,13
2023-12-11 02:17:30.623330708+00:00,6
2023-12-11 02:17:30.631204724+00:00,5
2023-12-11 02:17:30.639078740+00:00,11
2023-12-11 02:17:30.646952755+00:00,-2
2023-12-11 02:17:30.654826771+00:00,1
2023-12-11 02:17:30.662700787+00:00,3
2023-12-11 02:17:30.670574803+00:00,1
2023-12-11 02:17:30.678448818+00:00,11
2023-12-11 02:17:30.686322834+00:00,6
2023-12-11 02:17:30.694196850+00:00,4
2023-12-11 02:17:30.702070866+00:00,-1
2023-12-11 02:17:30.709944881+00:00,-5
2023-12-11 02:17:30.717818897+00:00,-2
2023-12-11 02:17:30.725692913+00:00,-5
2023-12-11 02:17:30.733566929+00:00,-6
2023-12-11 02:17:30.741440944+00:00,-1
2023-12-11 02:17:30.749314960+00:00,-9
2023-12-11 02:17:30.757188976+00:00,-6
2023-12-11 02:17:30.765062992+00:00,-10
2023-12-11 02:17:30.772937007+00:00,-18
2023-12-11 02:17:30.780811023+00:00,-13
2023-12-11 02:17:30.788685039+00:00,-21
2023-12-11 02:17:30.796559055+00:00,-12
2023-12-11 02:17:30.804433070+00:00,-14
2023-12-11 02:17:30.812307086+00:00,-13
2023-12-11 02:17:30.820181102+00:00,-10
2023-12-11 02:17:30.828055118+00:00,-20
2023-12-11 02:17:30.835929133+00:00,-13
2023-12-11 02:17:30.843803149+00:00,-14
2023-12-11 02:17:30.851677165+00:00,-20
2023-12-11 02:17:30.859551181+00:00,-21
2023-12-11 02:17:30.867425196+00:00,-26
2023-12-11 02:17:30.875299212+00:00,-25
2023-12-11 02:17:30.883173228+00:00,-20
2023-12-11 02:17:30.891047244+00:00,-27
2023-12-11 02:17:30.898921259+00:00,-24
2023-12-11 02:17:30.906795275+00:00,-14
2023-12-11 02:17:30.914669291+00:00,-5
2023-12-11 02:17:30.922543307+00:00,10
2023-12-11 02:17:30.930417322+00:00,5
2023-12-11 02:17:30.938291338+00:00,-2
2023-12-11 02:17:30.946165354+00:00,-3
2023-12-11 02:17:30.954039370+00:00,3
2023-12-11 02:17:30.961913385+00:00,4
2023-12-11 02:17:30.969787401+00:00,-12
2023-12-11 02:17:30.977661417+00:00,-14
2023-12-11 02:17:30.985535433+00:00,-26
2023-12-11 02:17:30.993409448+00:00,-43
2023-12-11 02:17:31.001283464+00:00,-38
2023-12-11 02:17:31.009157480+00:00,-48
2023-12-11 02:17:31.017031496+00:00,-78
2023-12-11 02:17:31.024905511+00:00,-45
2023-12-11 02:17:31.032779527+00:00,301
2023-12-11 02:17:31.040653543+00:00,726
2023-12-11 02:17:31.048527559+00:00,451
2023-12-11 02:17:31.056401574+00:00,-63
2023-12-11 02:17:31.064275590+00:00,-114
2023-12-11 02:17:31.072149606+00:00,-80
2023-12-11 02:17:31.080023622+00:00,-48
2023-12-11 02:17:31.087897637+00:00,-54
2023-12-11 02:17:31.095771653+00:00,-56
